file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Bad_Smells_Java_program\Simple-Interface-Project-master\src\com\theButton\youCantClickIt.java,com.theButton.youCantClickIt$Anonymous2,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
C:\Bad_Smells_Java_program\Simple-Interface-Project-master\src\com\theButton\youCantClickIt.java,com.theButton.youCantClickIt$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
C:\Bad_Smells_Java_program\Simple-Interface-Project-master\src\com\theButton\youCantClickIt.java,com.theButton.youCantClickIt$Anonymous4,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
C:\Bad_Smells_Java_program\Simple-Interface-Project-master\src\com\theButton\Button.java,com.theButton.Button,class,2,3,1,2,8,1,0,2,6,0.625,0.39285713,0.53571427,8,0,8,0,0,0,8,0,0,0,3,0,0,3,0,0,0,0,0,32,3,0,0,0,1,4,0,5,2,3,0,0,0,0,12,1,0
C:\Bad_Smells_Java_program\Simple-Interface-Project-master\src\com\theButton\youCantClickIt.java,com.theButton.youCantClickIt$Anonymous3,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
C:\Bad_Smells_Java_program\Simple-Interface-Project-master\src\com\theButton\youCantClickIt.java,com.theButton.youCantClickIt,class,2,8,6,2,14,1,0,26,1,0.7708334,0.46666667,0.6666667,6,0,1,0,0,5,6,0,0,0,8,0,0,8,0,0,0,0,8,81,0,0,0,1,7,8,9,8,6,8,1,4,0,0,48,1,0
C:\Bad_Smells_Java_program\Simple-Interface-Project-master\src\com\theButton\Pushable.java,com.theButton.Pushable,interface,0,4,4,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
C:\Bad_Smells_Java_program\Simple-Interface-Project-master\src\com\theButton\ButtonApp.java,com.theButton.ButtonApp,class,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,10,1,0
C:\Bad_Smells_Java_program\Simple-Interface-Project-master\src\com\theButton\PassGen.java,com.theButton.PassGen,class,2,3,1,2,6,1,0,9,2,0.5625,0.0,0.0,4,0,3,1,0,0,3,0,0,0,4,0,0,4,0,0,0,0,0,30,1,2,0,0,0,1,8,6,1,6,1,0,0,0,18,1,0
